Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
TBoxExample,TBox,http://www.theworldavatar.com/ontology/ontoosid/OntoOSID.owl,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
TBoxExample,TBox,1,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
TBoxExample,TBox,"Ontology for representation of UK Ordnance Survey ""Open Identifiers"" resources.",http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
TBoxExample,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
Identifier,Class,,,,,,A string for identifying objects which is unique within its namespace.,http://www.theworldavatar.com/ontology/ontoosid/OntoOSID.owl,
Persistent Identifier,Class,Identifier,IS-A,,,,A identifier which is guaranteed to not change for the lifetime of the identified object and never be reused.,http://www.theworldavatar.com/ontology/ontoosid/OntoOSID.owl,
has Rank,Data Property,,,Identifier,Integer,exactly 1,"The hierarchial rank of the identifier. BLPUs and TopographicAreas of buildings are rank 0; RoadLinks are rank 1; Roads, Streets and road TopographicAreas are rank 2.",http://www.theworldavatar.com/ontology/ontoosid/OntoOSID.owl,
has Value,Data Property,,,Identifier,String,exactly 1,The unique string of the identifier.,http://www.theworldavatar.com/ontology/ontoosid/OntoOSID.owl,
has Feature Type,Data Property,,,Identifier,String,exactly 1,"The type of feature identified, which is either ""blpu"", ""road"", ""roadlink"", ""street"", or ""topographicarea"" (or ""orroad"", ""orroadlink"", but we do not currently import them). [OS Open Linked Identifiers Technical Specification v1.1]",http://www.theworldavatar.com/ontology/ontoosid/OntoOSID.owl,
has Identifier Type,Data Property,,,Identifier,String,exactly 1,"The identifier type of the identifier, which also serves as its namespace; either ""guid"", ""toid"", ""uprn"" or ""usrn"". [OS Open Linked Identifiers Technical Specification v1.1]",http://www.theworldavatar.com/ontology/ontoosid/OntoOSID.owl,
links Last Retrieved,Data Property,,,Identifier,DateTime,less than 2,"The datetime when links for this identifier were last retrieved from the Ordnance Survey. For data from the Linked Identifiers API, this is the time of query; for Open Linked Identifiers data package downloads, this is the time of package publication.",http://www.theworldavatar.com/ontology/ontoosid/OntoOSID.owl,
links Retrieved From,Data Property,,,Identifier,DateTime,less than 2,"The source from which links for this identifier were retrieved, either ""api"" or ""package"".",http://www.theworldavatar.com/ontology/ontoosid/OntoOSID.owl,
is Linked To,Object Property,,,Identifier,Identifier,,A relation that defines that two identifiers are linked according to the OS Open Linked Identifiers data set.,http://www.theworldavatar.com/ontology/ontoosid/OntoOSID.owl,
identifies,Object Property,,,Identifier,,,"A relation that defines that an identifer identifies an identificand. For a Persistent Identifier, this property is guaranteed to not change.",http://www.theworldavatar.com/ontology/ontoosid/OntoOSID.owl,
